BX = 000 Event : 1
0x00 0000110|0000000|01011101111111110|00101010|1011011100|000011100  0x03005DFF155B81C
0x01 0000110|0000001|01101101101010110|10011101|1101100101|110110000  0x03016DAB4EECBB0
0x02 0000110|0000010|01011100111010000|10111100|1011101001|111001110  0x03025CE85E5D3CE
0x03 0000110|0000011|01011110001100100|00101010|1011011110|000011101  0x03035E32155BC1D
0x04 0000110|0000100|01011110001100100|00101001|1011011110|000011100  0x03045E3214DBC1C
0x05 0000110|0000101|01011110000001100|00101010|1011011100|000011100  0x03055E06155B81C
0x06 0000110|0010000|01111010100101010|11001111|1110000000|111011111  0x03107A9567F01DF
0x07 0000110|0010001|01101011011000000|00011110|1011111111|000011011  0x03116B600F5FE1B
0x08 0000110|0010010|01111000001011010|00011001|1101110101|000010101  0x0312782D0CEEA15
0x09 0000110|0010011|01100101001111010|10000111|1010111000|110101001  0x0313653D43D71A9
0x0a 0000110|0010101|01111111001110010|10111100|1110100011|111001110  0x03157F395E747CE
0x0b 0000110|0011000|01111011111111100|11110110|1101111011|111110101  0x03187BFE7B6F7F5
BX = 001 Event : 2
0x00 0000110|0000110|01111001001000100|10011010|1110110111|111000011  0x030679224D76FC3
0x01 0000110|0001000|01111110000001000|11011100|1111010010|111101111  0x03087E046E7A5EF
0x02 0000110|0001001|01100010110101100|10101100|1011011010|111000110  0x030962D6565B5C6
0x03 0000110|0001010|01111010100101010|10001010|1101011001|110110001  0x030A7A95456B3B1
0x04 0000110|0001100|01111010001010010|10001001|1101010100|110110000  0x030C7A2944EA9B0
BX = 010 Event : 3
0x00 0000110|0000000|01100111101110110|11101001|1101000000|111101101  0x030067BB74E81ED
0x01 0000110|0000001|01011000001010100|11111000|1010110010|111111110  0x0301582A7C565FE
0x02 0000110|0000010|01100001001111000|11100100|1100000100|111100111  0x0302613C72609E7
0x03 0000110|0000111|01101100011011100|11100000|1011000001|111101100  0x03076C6E70583EC
0x04 0000110|0001000|01110101011100000|00101100|1100110000|000100101  0x030875701666025
BX = 011 Event : 4
0x00 0000110|0000011|01111001111001100|01100111|1110111010|001010001  0x030379E633F7451
0x01 0000110|0010001|01111000111100000|00111100|1101011000|000101001  0x031178F01E6B029
0x02 0000110|0011000|01111010101101010|11011100|1101110110|111101010  0x03187AB56E6EDEA
BX = 100 Event : 5
0x00 0000110|0000000|01111000111001010|11000010|1110010100|111001111  0x030078E561729CF
